sampling_method,dataset_level,r2,rmsle,r2_percentage_diff,rmsle_percentage_diff
BalancedSampling,1000,0.6972528922873777,0.5949885433631018,0.2507950430750583,-0.08369521022454363
BalancedSampling,10000,0.8615530525343823,0.42776455241489175,3.0587380522095087,-5.7769623456807135
BalancedSampling,5000,0.7961470942836716,0.49769330128676637,1.6316954217907353,-0.8423169930692143
FCMtp2sampled,1000,0.3920091870984175,0.6892654141493798,-43.63704603378188,15.748200481184504
FCMtp2sampled,10000,0.6880316512993239,0.5967637375009989,-17.697844010533025,31.44822728263874
FCMtp2sampled,5000,0.6358394470308892,0.6275225202438922,-18.832284282911417,25.024144349898435
FSCS,1000,0.713574744870754,0.5767539625697227,2.597545721571981,-3.1458246454684535
FSCS,10000,0.9430384408279764,0.3270148806380292,12.805997681235027,-27.96893702871701
FSCS,5000,0.8517138929395547,0.44026091796097977,8.725042866134359,-12.284829973306334
SRS,1000,0.6955085912164457,0.5954869374072245,0.0,0.0
SRS,10000,0.8359825365782375,0.45399146860903883,0.0,0.0
SRS,5000,0.7833649640296866,0.501921067732068,0.0,0.0
clhs,1000,0.7056413592073547,0.5831790581552762,1.456886100168342,-2.0668596536369654
clhs,10000,0.8728679632610126,0.42690649523308877,4.412224546430221,-5.9659652766018585
clhs,5000,0.8020817547093708,0.4963266401984543,2.3892810553338695,-1.114603050812779
