sampling_method,dataset_level,test_accuracy,test_f1,roc_auc,test_accuracy_percentage_diff,test_f1_percentage_diff,roc_auc_percentage_diff
BalancedSampling,1000,0.6512985291563446,0.6231811135299956,0.7959283607163082,0.0391833370608996,-0.4567340352918281,0.03776197088214417
BalancedSampling,10000,0.7430547946569981,0.7312641549903283,0.8439508716748501,0.15442008420047948,0.2723148301907008,-0.07315477844787033
BalancedSampling,20000,0.7846293407675373,0.7759729935008389,0.8580723718684915,0.7019356912964847,0.8049509233439611,0.10436582912580761
BalancedSampling,5000,0.7042545520100956,0.6884734577832761,0.8290398761683415,-0.3156399577214919,-0.296305958468579,-0.27965240952773085
FCMtp1sampled,1000,0.48730266104778186,0.3724571358242325,0.6043203454866921,-25.150513832199394,-40.505899606310116,-24.044853959530133
FCMtp1sampled,10000,0.552941938182941,0.49331537647869994,0.699445187781738,-25.470396588302634,-32.35566873710569,-17.18315204566422
FCMtp1sampled,20000,0.5904439503058865,0.5354800984411847,0.7407715045576733,-24.220462295158608,-30.436953997249304,-13.58017794401356
FCMtp1sampled,5000,0.582856546449954,0.5268035892218759,0.6781398046211318,-17.49903261046534,-23.709093958575554,-18.430537570399473
FCMtp2sampled,1000,0.5069474280804074,0.4031594373195633,0.6110681509458844,-22.133085782213858,-35.60169552001079,-23.196743263053655
FCMtp2sampled,10000,0.6012869423166953,0.5498481747518833,0.7457469617922621,-18.95409942179348,-24.603785224156425,-11.700854011122363
FCMtp2sampled,20000,0.6635358932660715,0.6332087742408081,0.8112132906666949,-14.839599565339833,-17.741235911315968,-5.3623043036357565
FCMtp2sampled,5000,0.5778989116924274,0.5153039608033125,0.724774457456481,-18.200765594252022,-25.374452906656686,-12.821128512785297
FSCS,1000,0.6535381605770022,0.6246519734015904,0.7937932021922572,0.38318979227096595,-0.22178757716568853,-0.23059946808816623
FSCS,10000,0.7541697924935791,0.7439637823486656,0.8473889790992557,1.6525816875769817,2.0137115936053496,0.33392961471336857
FSCS,20000,0.7966247929917436,0.7890493781415018,0.8597905791194922,2.241471871894052,2.5036753931348965,0.3048151768304752
FSCS,5000,0.7110590328361741,0.6967458084020405,0.8329049968508768,0.6475065560377358,0.9016834567707077,0.18526030338412713
SRS,1000,0.6510434286152974,0.6260404533551639,0.7956279159343629,0.0,0.0,0.0
SRS,10000,0.7419091379414977,0.7292782222378236,0.8445687140464507,0.0,0.0,0.0
SRS,20000,0.7791601376688846,0.7697766690952701,0.8571777711805169,0.0,0.0,0.0
SRS,5000,0.7064844993852641,0.6905195082305511,0.8313648078855591,0.0,0.0,0.0
clhs,1000,0.6555675408847002,0.6303878928854456,0.7984753701930687,0.694901763930722,0.69443428247844,0.3578876760956584
clhs,10000,0.7419740420148815,0.7306194657063769,0.8445454893878311,0.00874825097367804,0.1839138243341143,-0.002749883844066492
clhs,20000,0.7840485435819144,0.774792713557516,0.8589196151292413,0.6273942514121833,0.6516233426691498,0.20320685011763207
clhs,5000,0.7053409619234674,0.6902278314203814,0.830557187940248,-0.16186306462374622,-0.04224019838586779,-0.09714386965273825
kmeans,1000,0.5779117493806734,0.5191697724524988,0.681536782164345,-11.232995529986011,-17.070890599786114,-14.33976001659425
kmeans,10000,0.6223043439283615,0.5861762271007303,0.7762982160524459,-16.121218609733234,-19.622414432996273,-8.083474660920253
kmeans,20000,0.6612403615324196,0.6345987577681607,0.7949656312878521,-15.134215732501543,-17.560666197637044,-7.257787355706313
kmeans,5000,0.5916854060516352,0.5384887516762152,0.7534176479084527,-16.249343535989745,-22.016866249573898,-9.375807014895464
